Function,Best,FDO,GA,DA,SSA
FM,FDO,0.138600426,1.357755874,7.349109904,2.89964873
F1,FDO,1.65E-36,8.62E-08,0.011966676,4.07E-10
F2,DA,2.32E-29,1.95E-05,0,4.30E-06
F3,FDO,2.97E-16,1.58E-06,2.342949071,1.94E-09
F4,FDO,8.37E-16,2.37E-05,0.270627963,1.40E-05
F5,FDO,0.00157971,0.004087816,7.10979995,0.677050611
F6,FDO,3.08E-33,5.30E-08,6.19E-05,3.72E-10
F7,SSA,0.14455463,0.002354145,0.002698841,0.001862791
F8,DA,-3239.496179,-454.4905972,-3682.748788,-3439.70582
F9,FDO,1.42E-14,3.97E-07,15.92669747,6.9647134
F10,FDO,4.44E-15,1.61E-05,0.020850463,7.82E-06
F11,GA,0.014704259,7.98E-08,0.11863062,0.029564469
F12,FDO,4.71E-32,3.46E-08,0.115929102,1.90E-11
F13,FDO,1.35E-32,5.82E-08,0.02296144,3.61E-11
F14,DA,0.998003838,10.76318067,0.998003838,0.998003838
F15,FDO,0.000307486,0.001049363,0.000452813,0.000622067
F16,FDO,-1.031628453,-1.031628453,-1.031628453,-1.031628453
F17,FDO,0.397887358,0.397887358,0.397887358,0.397887358
F18,DA,3,3.000000003,3,3
F19,DA,-3.862782148,-3.862782147,-3.862782148,-3.862782148
F20,SSA,-3.321993317,-3.32199514,-3.321995172,-3.321995172
F21,DA,-10.15319947,-10.15319963,-10.15319968,-10.15319968
F22,DA,-10.40294055,-10.40294054,-10.40294057,-10.40294057
F23,DA,-10.53640981,-10.53640979,-10.53640982,-10.53640982
cec01,GA,2964292.533,37474.97865,4967577551,222408802.5
cec02,FDO,17.34285714,17.34286008,17.34371125,17.34305068
cec03,FDO,12.70240422,12.70240422,12.70240422,12.70240422
cec04,FDO,10.95218596,792.8750874,48.4468035,16.91426902
cec05,FDO,1.019469406,3.782862779,1.134751939,1.046707412
cec06,GA,7.794477905,1.278227742,5.746749844,2.799515847
cec07,FDO,-218.7692676,11.38732742,63.85463766,-24.20862626
cec08,FDO,3.029025934,4.23487689,4.348675668,3.819494689
cec09,FDO,2.355500053,2.729441488,3.050310573,2.451634311
cec10,FDO,4.44E-15,19.96615911,20.00609456,5.10E-05
